id,label,x,y,cluster,weight<Links>,weight<Total link strength>,weight<Documents>,score<Avg. pub. year>
90,liisa holsti,0.5571,-1.0118,12,3,3,1,2021
91,lorenzo fabrizi,0.1782,-0.2695,2,25,99,16,2015.0625
92,luke baxter,-0.209,0.0804,1,35,95,8,2022.5
93,madeleine verriotis,0.356,-0.2989,2,13,36,6,2016.6667
94,maeve mcloughlin,0.2186,0.4457,3,7,7,1,2024
95,margot latimer,-0.5474,-0.9304,7,4,4,1,2021
96,maria bastianelli,0.818,0.1599,6,9,9,1,2024
97,maria cobo,-0.2777,0.0997,1,34,86,7,2022.5714
98,maria fitzgerald,0.2491,-0.2689,2,25,89,14,2015.5714
99,maria laudiano-dray,0.3961,-0.2267,2,12,34,5,2019.4
100,marianne aspbury,-0.1526,0.3691,1,13,13,1,2024
101,marianne van der vaart,-0.2431,0.0293,1,40,104,9,2021.8889
102,marina freire,-0.4035,0.3636,1,19,19,1,2024
103,mariska peck,-0.5573,0.238,1,19,19,1,2024
104,marit lundblad,0.8138,-0.7729,4,4,4,1,2023
105,marsha campbell-yeo,-0.6719,-0.8239,7,8,10,2,2021.5
106,mats blennow,0.7718,-0.5686,4,4,4,1,2023
107,melissa moore-clingenpeel,-0.1478,1.0264,3,9,9,1,2017
108,michael friger,-0.7692,0.4752,8,6,6,1,2013
109,ming huang,0.2142,1.0905,9,5,5,1,2025
110,miranda buckle,-0.401,-0.1828,1,22,31,2,2019.5
111,mohammad daliri,-1.1395,0.214,14,1,1,1,2024
112,mohammed rupawala,0.3531,-0.4425,2,11,16,2,2023
113,nader raafat,-0.211,-0.4644,1,5,5,1,2019
114,nathalie maitre,0.0667,0.7149,3,16,16,2,2020.5
115,neta maimon,-0.9562,0.6736,8,6,6,1,2013
116,nusreena hohsoh,0.3637,1.1568,9,5,5,1,2025
117,oana bucsea,0.1716,-0.4238,2,11,16,2,2023
118,olena chorna,0.0225,0.8735,3,9,9,1,2017
119,osuke iwata,0.4347,0.892,9,5,5,1,2025
120,ove okland,0.9528,-0.062,4,6,6,1,2008
121,paul castillo,0.9125,-0.6517,4,4,4,1,2023
122,per-arne lonnqvist,0.6837,-0.6881,4,4,4,1,2023
123,rachelle srinivas,0.4232,0.5438,3,7,7,1,2024
124,rania mohamed abdou,-1.1456,-0.2681,11,3,3,1,2018
125,ravi poorun,-0.3856,0.1658,1,26,40,3,2021
126,rebecca pillai riddell,0.2524,-0.4872,2,10,14,2,2022
127,rebeccah slater,-0.1751,-0.0439,1,57,196,22,2017.0909
128,reyhane shafiee,-0.9932,0.1304,14,1,1,1,2024
129,ria evans fry,-0.3388,0.0819,1,32,67,5,2022.2
130,richard rogers,-0.2696,-0.1036,1,30,73,8,2018.25
131,robert cooper,0.4426,0.019,2,5,5,1,2016
132,roshni mansfield,-0.3524,0.2626,1,22,32,2,2024
133,ruth grunau,-0.7039,0.6136,8,6,6,1,2013
134,ruth martin-misener,-0.463,-0.7732,7,4,4,1,2021
135,ryan purdy,-0.0045,0.011,1,8,8,1,2021
136,safa talebi,-0.5305,0.8126,13,2,2,1,2025
137,sahar hassanein,-0.9985,-0.3355,11,3,3,1,2018
138,sampsa vanhatalo,0.8906,-0.4097,4,13,15,3,2018.6667
139,sara cavaliere,0.9392,0.189,6,9,9,1,2024
140,sean fitzgibbon,-0.1216,0.1269,1,19,39,4,2023
141,sezgi goksan,-0.4875,-0.0742,1,22,34,3,2017
142,shahbaz askari,0.3543,-0.9088,12,3,3,1,2021
143,shellie robinson,-0.495,0.3314,1,19,19,1,2024
144,sheryl ledwidge,0.5473,-0.4543,2,5,5,1,2015
145,shlomo gilat,-0.8601,0.5721,8,6,6,1,2013
146,silvia lori,0.7474,0.2907,6,9,9,1,2024
147,simon marchant,-0.2922,0.2087,1,22,39,3,2024
148,simona montano,0.9874,0.3123,6,9,9,1,2024
149,simonetta gabbanini,0.7884,0.4278,6,9,9,1,2024
150,siân roberts-holdridge,0.0166,-0.3716,2,8,13,2,2010.5
151,sofia olhede,0.2501,-0.1286,2,14,26,4,2015
152,sofie nilsson,1.0615,-0.4566,4,5,5,1,2025
153,stephen bruehl,-0.102,0.6972,3,9,9,1,2017
154,stewart boyd,0.1063,-0.1711,2,10,41,7,2010.5714
155,susannah walker,-0.6297,-0.0353,1,10,10,1,2018
156,tim bardouille,-0.6961,-0.567,7,6,6,1,2022
157,timo vehviläinen,1.1489,-0.3396,4,5,5,1,2025
158,tomoko suzuki,0.2632,0.926,9,5,5,1,2025
159,vaneesha monk,-0.43,0.0727,1,33,48,3,2022
160,vicki livingstone,0.061,-0.8694,5,9,9,1,2019
161,vineta fellman,1.0093,-0.2023,4,9,11,2,2016.5
162,wassim haddad,0.9155,0.6965,10,4,4,1,2025
163,xiaogang wang,0.3945,-0.5784,2,8,8,1,2023
164,zoya bastany,0.5082,-0.8605,12,3,3,1,2021
